EquationName,Degree,Lambda,Alpha,MaxInteractions
FeynmanBonus1,3,0.1,1.0,2
FeynmanBonus10,3,0.1,1.0,2
FeynmanBonus11,3,0.01,1.0,2
FeynmanBonus12,3,1.0,0.5,3
FeynmanBonus13,3,0.1,0.5,3
FeynmanBonus14,3,10.0,1.0,2
FeynmanBonus15,3,0.01,1.0,3
FeynmanBonus16,3,1e-06,1.0,3
FeynmanBonus17,3,1.0,1.0,2
FeynmanBonus19,3,1e-07,0.0,2
FeynmanBonus2,3,1.0,1.0,2
FeynmanBonus20,3,10.0,1.0,3
FeynmanBonus3,3,0.01,1.0,3
FeynmanBonus4,3,1.0,0.0,3
FeynmanBonus5,3,10.0,0.5,3
FeynmanBonus6,3,10.0,1.0,3
FeynmanBonus7,3,1.0,0.5,3
FeynmanBonus9,3,10.0,0.0,2
FeynmanICh15Eq3t,3,0.01,1.0,2
FeynmanICh29Eq16,3,0.1,0.0,3
FeynmanICh30Eq3,3,1.0,0.0,3
FeynmanICh32Eq17,3,1e-07,0.0,2
FeynmanICh34Eq14,3,0.01,0.0,2
FeynmanICh37Eq4,3,0.01,1.0,2
FeynmanICh39Eq22,3,1.0,0.5,3
FeynmanICh40Eq1,3,1e-07,0.0,2
FeynmanICh41Eq16,3,1e-05,1.0,2
FeynmanICh44Eq4,3,0.01,0.5,2
FeynmanICh50Eq26,3,10.0,0.5,2
FeynmanICh6Eq20,3,1.0,0.0,2
FeynmanICh6Eq20a,3,1.0,0.0,2
FeynmanICh6Eq20b,3,1.0,0.0,3
FeynmanICh9Eq18,3,10.0,1.0,3
FeynmanIICh11Eq17,3,10.0,1.0,2
FeynmanIICh11Eq20,3,1e-07,0.0,2
FeynmanIICh11Eq27,3,0.0001,1.0,3
FeynmanIICh11Eq28,3,0.001,1.0,2
FeynmanIICh13Eq23,3,1e-07,0.0,2
FeynmanIICh13Eq34,3,1e-07,0.0,2
FeynmanIICh24Eq17,3,0.1,0.0,2
FeynmanIICh35Eq18,3,1e-07,0.0,2
FeynmanIICh35Eq21,3,0.1,0.0,3
FeynmanIICh36Eq38,3,1.0,1.0,3
FeynmanIICh6Eq15a,3,1e-07,0.0,2
FeynmanIICh6Eq15b,3,10.0,0.0,3
FeynmanIIICh10Eq19,3,0.1,1.0,2
FeynmanIIICh21Eq20,3,1e-07,0.0,2
FeynmanIIICh4Eq33,3,0.01,1.0,2
FeynmanIIICh9Eq52,3,10.0,0.5,2
